protocol_id,seed,transition,update_batch,variant,class_id,region,margin_agreement_before,margin_agreement_after,margin_agreement_delta,margin_abs_error_after,metric_function,hidden_gt_usage
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,0,all,0.9880842600079781,0.9880987135162549,1.4453508276779381e-05,0.01190128648374511,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,0,boundary,0.8314975591203475,0.831426111125711,-7.144799463654206e-05,0.16857388887428904,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,0,interior,0.9910673158695831,0.9910834205395735,1.610466999046878e-05,0.008916579460426455,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,1,all,0.8027018820212352,0.802759974060652,5.8092039416868246e-05,0.19724002593934797,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,1,boundary,0.7485211104847956,0.7485739730134603,5.286252866465446e-05,0.2514260269865397,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,1,interior,0.8240149546477754,0.8240751223815046,6.016773372918838e-05,0.1759248776184954,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,2,all,0.8127206869826048,0.8119170852683243,-0.0008036017142805107,0.1880829147316757,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,2,boundary,0.7305873604513775,0.730543681374523,-4.367907685454142e-05,0.26945631862547703,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,2,interior,0.8394034996510095,0.83835302359415,-0.001050476056859484,0.16164697640585002,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,0,all,0.9880842600079781,0.9880324051405827,-5.185486739545109e-05,0.011967594859417341,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,0,boundary,0.8314975591203475,0.8311121211055859,-0.00038543801476165207,0.16888787889441415,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,0,interior,0.9910673158695831,0.9910218222787984,-4.5493590784650983e-05,0.008978177721201575,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,1,all,0.8027018820212352,0.8024075218915571,-0.0002943601296780951,0.19759247810844294,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,1,boundary,0.7485211104847956,0.7478329066006207,-0.0006882038841748983,0.25216709339937926,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,1,interior,0.8240149546477754,0.823875535884858,-0.0001394187629174537,0.17612446411514204,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,2,all,0.8127206869826048,0.8126427658589599,-7.792112364490844e-05,0.1873572341410401,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,2,boundary,0.7305873604513775,0.730448384910111,-0.00013897554126651723,0.269551615089889,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,2,interior,0.8394034996510095,0.8393454285883117,-5.807106269772877e-05,0.16065457141168826,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,0,all,0.9880842600079781,0.9879846305578277,-9.962945015040692e-05,0.012015369442172297,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,0,boundary,0.8314975591203475,0.8309877970812256,-0.0005097620391218971,0.1690122029187744,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,0,interior,0.9910673158695831,0.9909754917343526,-9.182413523045607e-05,0.00902450826564738,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,1,all,0.8027018820212352,0.8021281171555642,-0.000573764865670956,0.1978718828444358,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,1,boundary,0.7485211104847956,0.7476180115411059,-0.000903098943689784,0.25238198845889415,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,1,interior,0.8240149546477754,0.8235707212483929,-0.0004442333993824876,0.17642927875160708,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,2,all,0.8127206869826048,0.8129586137026295,0.00023792672002465043,0.18704138629737055,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,2,boundary,0.7305873604513775,0.730049141649867,-0.0005382188015105038,0.269950858350133,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,2,interior,0.8394034996510095,0.8398935927737152,0.0004900931227057592,0.16010640722628477,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,0,all,0.9880842600079781,0.9879187609627648,-0.00016549904521334646,0.012081239037235236,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,0,boundary,0.8314975591203475,0.8305613722287932,-0.0009361868915542804,0.16943862777120677,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,0,interior,0.9910673158695831,0.9909164884120976,-0.00015082745748551396,0.009083511587902438,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,1,all,0.8027018820212352,0.8019017563474818,-0.0008001256737533158,0.19809824365251816,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,1,boundary,0.7485211104847956,0.7469771788662732,-0.0015439316185223984,0.25302282113372676,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,1,interior,0.8240149546477754,0.8235074297810331,-0.000507524866742326,0.17649257021896692,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,2,all,0.8127206869826048,0.813042155838893,0.00032146885628825395,0.18695784416110695,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,2,boundary,0.7305873604513775,0.7299712413404619,-0.0006161191109156361,0.2700287586595381,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,2,interior,0.8394034996510095,0.8400295787025773,0.0006260790515678627,0.15997042129742267,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X0,0,all,0.9880842600079781,0.9881162009861808,3.194097820269359e-05,0.011883799013819196,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X0,0,boundary,0.8314975591203475,0.8316865668692546,0.00018900774890706629,0.16831343313074543,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X0,0,interior,0.9910673158695831,0.991096292046106,2.8976176522976793e-05,0.008903707953893947,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X0,1,all,0.8027018820212352,0.8028994656869494,0.00019758366571420716,0.19710053431305063,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X0,1,boundary,0.7485211104847956,0.7486806247309253,0.00015951424612969944,0.25131937526907466,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X0,1,interior,0.8240149546477754,0.8242275153552012,0.0002125607074258129,0.17577248464479878,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X0,2,all,0.8127206869826048,0.8133166486217749,0.0005959616391700839,0.18668335137822512,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X0,2,boundary,0.7305873604513775,0.7307216571650064,0.00013429671362885642,0.26927834283499363,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X0,2,interior,0.8394034996510095,0.8401494313696817,0.0007459317186722103,0.15985056863031832,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X1,0,all,0.9880842600079781,0.9880737780267551,-1.0481981222998371e-05,0.011926221973244888,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X1,0,boundary,0.8314975591203475,0.8314103633532685,-8.71957670790513e-05,0.16858963664673154,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X1,0,interior,0.9910673158695831,0.9910583272165652,-8.98865301790508e-06,0.008941672783434829,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X1,1,all,0.8027018820212352,0.8028130809688405,0.00011119894760536209,0.19718691903115948,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X1,1,boundary,0.7485211104847956,0.7482558626011501,-0.0002652478836455696,0.25174413739884993,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X1,1,interior,0.8240149546477754,0.8242742582909662,0.00025930364319082244,0.17572574170903377,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X1,2,all,0.8127206869826048,0.8134398293790754,0.00071914239647064,0.18656017062092456,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X1,2,boundary,0.7305873604513775,0.7306322584947472,4.489804336971215e-05,0.2693677415052528,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,5,X1,2,interior,0.8394034996510095,0.8403416938477951,0.0009381941967856466,0.1596583061522049,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,6,X0,0,all,0.9880842600079781,0.9880664125129369,-1.7847495041189987e-05,0.01193358748706308,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,6,X0,0,boundary,0.8314975591203475,0.8313015676857314,-0.00019599143461612734,0.16869843231426862,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,6,X0,0,interior,0.9910673158695831,0.9910528965720334,-1.4419297549639332e-05,0.008947103427966563,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,6,X0,1,all,0.8027018820212352,0.8029065170557569,0.00020463503452172738,0.19709348294424311,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,6,X0,1,boundary,0.7485211104847956,0.7482797198095501,-0.00024139067524553415,0.2517202801904499,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,6,X0,1,interior,0.8240149546477754,0.8243950595339415,0.0003801048861661327,0.17560494046605846,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,6,X0,2,all,0.8127206869826048,0.8128855798463663,0.00016489286376153434,0.18711442015363366,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
