arm,Incoming,Old,dominated_on_mean_Incoming_Old
DPR_FINITE_U,0.7087287464266262,0.47800315773012453,True
DPR_FINITE_SIGN_U,0.7170909122134391,0.5061297071114276,False
DPR_U,0.7157376046852221,0.49855795861206853,True
RESPONSE_U,0.7182561171106436,0.49165508843463424,True
DPR_L,0.7152808694841323,0.4898834397438246,True
F_FULL,0.7180769807011003,0.4822123171184045,True
F_CONV,0.7196766584236701,0.4940808265838801,False
STATIC_SOURCE,0.41842019683904524,0.6848186941100093,False
