protocol_id,seed,transition,update_batch,variant,virtual_step_norm,previous_val_loss_before,previous_val_loss_after,previous_val_loss_delta,previous_val_dice_before,previous_val_dice_after,previous_val_dice_delta,current_val_loss_before,current_val_loss_after,current_val_loss_delta,current_val_dice_before,current_val_dice_after,current_val_dice_delta,old_model_gradient_nonnull,checkpoint_or_model_mutated,hidden_gt_usage
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,0,X0,0.001,0.6201920881867409,0.6193200461566448,-0.0008720420300960541,0.7369811721146107,0.7373558320105076,0.0003746598958969116,0.4998316541314125,0.49900384061038494,-0.000827813521027565,0.7476552985608578,0.7479194812476635,0.0002641826868057251,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,0,X1,0.001,0.6201920881867409,0.6190066803246737,-0.0011854078620672226,0.7369811721146107,0.7374306991696358,0.0004495270550251007,0.4998316541314125,0.49879971146583557,-0.0010319426655769348,0.7476552985608578,0.747974306344986,0.0003190077841281891,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X0,0.001,0.6201920881867409,0.6196352373808622,-0.0005568508058786392,0.7369811721146107,0.7370590902864933,7.79181718826294e-05,0.4998316541314125,0.49958161637187004,-0.0002500377595424652,0.7476552985608578,0.7475406937301159,-0.00011460483074188232,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,0.001,0.6201920881867409,0.6190833058208227,-0.0011087823659181595,0.7369811721146107,0.7372299283742905,0.0002487562596797943,0.4998316541314125,0.4987852964550257,-0.0010463576763868332,0.7476552985608578,0.7478602528572083,0.00020495429635047913,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X0,0.001,0.6201920881867409,0.6210773307830095,0.0008852425962686539,0.7369811721146107,0.7367877513170242,-0.00019342079758644104,0.4998316541314125,0.5016100164502859,0.0017783623188734055,0.7476552985608578,0.7471456676721573,-0.0005096308887004852,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X1,0.001,0.6201920881867409,0.6206362042576075,0.0004441160708665848,0.7369811721146107,0.7369149662554264,-6.620585918426514e-05,0.4998316541314125,0.5012181252241135,0.0013864710927009583,0.7476552985608578,0.7473001591861248,-0.0003551393747329712,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,0.001,0.6201920881867409,0.6206637490540743,0.00047166086733341217,0.7369811721146107,0.7367255613207817,-0.00025561079382896423,0.4998316541314125,0.5003145504742861,0.0004828963428735733,0.7476552985608578,0.7474155053496361,-0.00023979321122169495,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,0.001,0.6201920881867409,0.6194785479456186,-0.0007135402411222458,0.7369811721146107,0.7371137849986553,0.00013261288404464722,0.4998316541314125,0.49930006824433804,-0.0005315858870744705,0.7476552985608578,0.7478063702583313,0.000151071697473526,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X0,0.001,0.6201920881867409,0.6201917212456465,-3.6694109439849854e-07,0.7369811721146107,0.7369345836341381,-4.65884804725647e-05,0.4998316541314125,0.49981709383428097,-1.4560297131538391e-05,0.7476552985608578,0.7476640120148659,8.713454008102417e-06,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,4,X1,0.001,0.6201920881867409,0.6193051710724831,-0.0008869171142578125,0.7369811721146107,0.7371839508414268,0.00020277872681617737,0.4998316541314125,0.49924218840897083,-0.0005894657224416733,0.7476552985608578,0.747873954474926,0.00021865591406822205,0,False,none_visible_update_and_val_only
