batch_id,block,class_id,component_projection_fraction,component_sum_max_abs_error,component_sum_pass,component_vector_sha256,cosine,domain,dot,negative_cosine,pair_index,projected_cosine,projected_dot,projected_norm,seed,stage_index,supervised_norm,supervised_zero,undefined_reason,unsupervised_norm,unsupervised_zero,projected_to_raw_norm_ratio,global_projection_active,provenance
B0/seed0/stage0/REFUGE/pair00,global,0,0.18273687735602898,1.942890293094024e-16,True,46ad35338f5877f03ac10ea06c8b6ca36124f9c2534dc3d35244740d14dff78a,-0.4318543667585628,REFUGE,-0.06828139719115037,True,0,-4.5376665870843867e-13,-6.471082350523183e-14,0.13883703073957454,0,0,1.0271621968922553,False,,0.1539309877933111,False,0.901943349613245,True,derived from immutable component and retention CSVs; no new computation on models
B0/seed0/stage0/REFUGE/pair00,global,1,-0.17257868419918712,1.942890293094024e-16,True,74afc739d0f977ab4850692ed081029ebc96c86b75b2556813b73ceb336b2846,0.715941391358812,REFUGE,0.06448569031620272,False,0,9.715523164727422e-13,6.109522610042717e-14,0.06122123091647449,0,0,1.0271621968922553,False,,0.08768935071623427,False,0.6981603856845569,True,derived from immutable component and retention CSVs; no new computation on models
B0/seed0/stage0/REFUGE/pair00,global,2,0.9898418068431574,1.942890293094024e-16,True,9aab1a4f46e699a46427b448c0126093a27f29ebc284cd5d262910a5e2b6cece,-0.6654934025256127,REFUGE,-0.36986394069644346,True,0,-8.452490557163952e-13,-3.5063618675224006e-13,0.40386201973605573,0,0,1.0271621968922553,False,,0.5410771709772769,False,0.746403732034402,True,derived from immutable component and retention CSVs; no new computation on models
B0/seed0/stage0/REFUGE/pair00,encoder,0,0.18273687735602898,1.249000902703301e-16,True,0535d59c66ba96f57c5bddc5af3673349dedd9af80fdc4803ae750900a02c159,0.02217198088140717,REFUGE,0.0006894347956737125,False,0,0.25695580362623754,0.008265574259279158,0.09401622142797202,0,0,0.3421462687844098,False,,0.09088179469900032,False,1.0344890496424821,True,derived from immutable component and retention CSVs; no new computation on models
B0/seed0/stage0/REFUGE/pair00,encoder,1,-0.17257868419918712,1.249000902703301e-16,True,e0aebc8e5c0c4b254e5a696919da4a69277b08c769bf347a1d858cf0a2b17a2f,0.6289930040128875,REFUGE,0.008644467478718996,False,0,0.13807392073968133,0.0014894793949991332,0.031529060816266476,0,0,0.3421462687844098,False,,0.04016803821313341,False,0.7849290684541741,True,derived from immutable component and retention CSVs; no new computation on models
B0/seed0/stage0/REFUGE/pair00,encoder,2,0.9898418068431574,1.249000902703301e-16,True,3652cab8bbb397e85587405e788c365da319b92c41239bc1fb6b935f8fda3365,-0.4906101487007202,REFUGE,-0.06623200910197156,True,0,-0.20941990892714843,-0.025193879940224838,0.3516132891657395,0,0,0.3421462687844098,False,,0.39456594022484975,False,0.891139486001673,True,derived from immutable component and retention CSVs; no new computation on models
B0/seed0/stage0/REFUGE/pair00,bottleneck,0,0.18273687735602898,2.6020852139652106e-18,True,7e1d82d548f2a4011b6b6716226fbe8a70343ea73c297192c77bc1076f99b3f1,-0.5230496042341898,REFUGE,-0.00033596632184100034,True,0,-0.27404278301448415,-0.00015599739547209247,0.0107947449928444,0,0,0.05273349924161261,False,,0.012180532534021479,False,0.8862293140873413,True,derived from immutable component and retention CSVs; no new computation on models
B0/seed0/stage0/REFUGE/pair00,bottleneck,1,-0.17257868419918712,2.6020852139652106e-18,True,fa25c23482072e874a34c3126ac11536fbab209548cf6c1e8e62249ae8b2ccf7,-0.24550502610840927,REFUGE,-2.1572971581046488e-05,True,0,-0.9137146547173646,-0.0001915375729185983,0.003975179999621132,0,0,0.05273349924161261,False,,0.001666337595587107,False,2.385579014809746,True,derived from immutable component and retention CSVs; no new computation on models
B0/seed0/stage0/REFUGE/pair00,bottleneck,2,0.9898418068431574,2.6020852139652106e-18,True,6f63807becb86a72e0958ab9597940b1d30866978836233da3a840dc68fee8b0,-0.8499303535808576,REFUGE,-0.0009955517536864218,True,0,-0.033526650687501484,-2.0703273017966404e-05,0.011710144357723783,0,0,0.05273349924161261,False,,0.022212319486103728,False,0.5271914247879326,True,derived from immutable component and retention CSVs; no new computation on models
B0/seed0/stage0/REFUGE/pair00,dec3,0,0.18273687735602898,1.463672932855431e-18,True,2543ca222082819e7dfed78289df78c6ac1bb6ab505c50e50f5289ba8d97cf67,-0.6310809317298787,REFUGE,-0.00012535861742696188,True,0,-0.4129371533790412,-6.986387682883817e-05,0.005777699910216838,0,0,0.029282876828770215,False,,0.006783524453175612,False,0.851725375223213,True,derived from immutable component and retention CSVs; no new computation on models
